NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_MITOPHAGY	GOBP_MITOPHAGY	Details ...	60	-0.5223009	-2.1660337	0.0	0.05024314	0.056	3711	tags=42%, list=19%, signal=51%	
GOBP_STEROL_BIOSYNTHETIC_PROCESS	GOBP_STEROL_BIOSYNTHETIC_PROCESS	Details ...	60	-0.49136662	-1.9921561	0.0	0.2637848	0.454	4169	tags=43%, list=21%, signal=55%	
GOBP_RESPONSE_TO_STEROL_DEPLETION	GOBP_RESPONSE_TO_STEROL_DEPLETION	Details ...	16	-0.6341096	-1.8643191	0.004237288	0.75676334	0.917	3864	tags=69%, list=20%, signal=85%	
GOBP_GOLGI_ORGANIZATION	GOBP_GOLGI_ORGANIZATION	Details ...	134	-0.38949427	-1.8193865	0.0	0.8934845	0.975	5303	tags=45%, list=27%, signal=61%	
GOBP_ISOPRENOID_BIOSYNTHETIC_PROCESS	GOBP_ISOPRENOID_BIOSYNTHETIC_PROCESS	Details ...	34	-0.49810737	-1.7964938	0.0020242915	0.8990925	0.994	3669	tags=44%, list=19%, signal=54%	
GOBP_VESICLE_BUDDING_FROM_MEMBRANE	GOBP_VESICLE_BUDDING_FROM_MEMBRANE	Details ...	80	-0.4071417	-1.793856	0.0045045046	0.7681426	0.995	5117	tags=41%, list=26%, signal=55%	
GOBP_VESICLE_CARGO_LOADING	GOBP_VESICLE_CARGO_LOADING	Details ...	27	-0.51183057	-1.7614268	0.002232143	0.89377093	0.997	3371	tags=33%, list=17%, signal=40%	
GOBP_VIRAL_RELEASE_FROM_HOST_CELL	GOBP_VIRAL_RELEASE_FROM_HOST_CELL	Details ...	24	-0.5240888	-1.7598217	0.002057613	0.79458666	0.997	5614	tags=63%, list=28%, signal=87%	
GOBP_VENOUS_BLOOD_VESSEL_DEVELOPMENT	GOBP_VENOUS_BLOOD_VESSEL_DEVELOPMENT	Details ...	17	-0.5825175	-1.7329148	0.006263048	0.90022147	1.0	3054	tags=47%, list=15%, signal=56%	
GOBP_REGULATION_OF_MONOATOMIC_ANION_TRANSPORT	GOBP_REGULATION_OF_MONOATOMIC_ANION_TRANSPORT	Details ...	19	-0.56284094	-1.727129	0.006451613	0.8514308	1.0	5799	tags=68%, list=29%, signal=97%	
GOBP_RESPONSE_TO_MITOCHONDRIAL_DEPOLARISATION	GOBP_RESPONSE_TO_MITOCHONDRIAL_DEPOLARISATION	Details ...	23	-0.53115016	-1.7246742	0.010416667	0.7903747	1.0	2636	tags=39%, list=13%, signal=45%	
GOBP_REGULATION_OF_CHOLESTEROL_BIOSYNTHETIC_PROCESS	GOBP_REGULATION_OF_CHOLESTEROL_BIOSYNTHETIC_PROCESS	Details ...	20	-0.5400806	-1.7115954	0.006772009	0.8095705	1.0	4085	tags=45%, list=21%, signal=57%	
GOBP_GLUCOSE_CATABOLIC_PROCESS	GOBP_GLUCOSE_CATABOLIC_PROCESS	Details ...	26	-0.51564217	-1.7061644	0.013100437	0.782861	1.0	3344	tags=46%, list=17%, signal=55%	
GOBP_UTERUS_DEVELOPMENT	GOBP_UTERUS_DEVELOPMENT	Details ...	24	-0.5134531	-1.7029773	0.01910828	0.74764276	1.0	2382	tags=42%, list=12%, signal=47%	
GOBP_RIBONUCLEOSIDE_MONOPHOSPHATE_METABOLIC_PROCESS	GOBP_RIBONUCLEOSIDE_MONOPHOSPHATE_METABOLIC_PROCESS	Details ...	52	-0.4252632	-1.6938146	0.0	0.7511563	1.0	4492	tags=42%, list=23%, signal=55%	
GOBP_MICROVILLUS_ASSEMBLY	GOBP_MICROVILLUS_ASSEMBLY	Details ...	20	-0.53531355	-1.6858268	0.00856531	0.75426984	1.0	3293	tags=45%, list=17%, signal=54%	
GOBP_QUINONE_BIOSYNTHETIC_PROCESS	GOBP_QUINONE_BIOSYNTHETIC_PROCESS	Details ...	16	-0.55479866	-1.6593435	0.015452539	0.87586147	1.0	1259	tags=19%, list=6%, signal=20%	
GOBP_REGULATION_OF_AUTOPHAGY_OF_MITOCHONDRION	GOBP_REGULATION_OF_AUTOPHAGY_OF_MITOCHONDRION	Details ...	32	-0.4674215	-1.6578584	0.008333334	0.83814657	1.0	3711	tags=34%, list=19%, signal=42%	
GOBP_CAMP_MEDIATED_SIGNALING	GOBP_CAMP_MEDIATED_SIGNALING	Details ...	69	-0.384774	-1.653249	0.002173913	0.8252114	1.0	2021	tags=25%, list=10%, signal=27%	
GOBP_COPII_COATED_VESICLE_CARGO_LOADING	GOBP_COPII_COATED_VESICLE_CARGO_LOADING	Details ...	17	-0.54824436	-1.651677	0.028571429	0.7943834	1.0	3371	tags=35%, list=17%, signal=43%	
GOBP_NUCLEOBASE_CONTAINING_SMALL_MOLECULE_CATABOLIC_PROCESS	GOBP_NUCLEOBASE_CONTAINING_SMALL_MOLECULE_CATABOLIC_PROCESS		27	-0.48650548	-1.644487	0.014830508	0.80106896	1.0	4471	tags=48%, list=23%, signal=62%	
GOBP_PYRUVATE_METABOLIC_PROCESS	GOBP_PYRUVATE_METABOLIC_PROCESS		131	-0.35100073	-1.6404736	0.002202643	0.7884284	1.0	3497	tags=30%, list=18%, signal=36%	
GOBP_PROXIMAL_DISTAL_PATTERN_FORMATION	GOBP_PROXIMAL_DISTAL_PATTERN_FORMATION		29	-0.48043483	-1.6352983	0.013071896	0.7834543	1.0	2770	tags=34%, list=14%, signal=40%	
GOBP_NUCLEAR_ENVELOPE_ORGANIZATION	GOBP_NUCLEAR_ENVELOPE_ORGANIZATION		52	-0.40850174	-1.6275645	0.015873017	0.79566187	1.0	4916	tags=42%, list=25%, signal=56%	
GOBP_VIRAL_BUDDING	GOBP_VIRAL_BUDDING		18	-0.5382833	-1.6264709	0.020576132	0.7706494	1.0	2003	tags=39%, list=10%, signal=43%	
GOBP_AUTOPHAGY_OF_MITOCHONDRION	GOBP_AUTOPHAGY_OF_MITOCHONDRION		92	-0.36905798	-1.6249495	0.007075472	0.7494266	1.0	3816	tags=34%, list=19%, signal=42%	
GOBP_DEOXYRIBONUCLEOSIDE_MONOPHOSPHATE_CATABOLIC_PROCESS	GOBP_DEOXYRIBONUCLEOSIDE_MONOPHOSPHATE_CATABOLIC_PROCESS		20	-0.5092404	-1.6159726	0.022727273	0.7743601	1.0	5112	tags=50%, list=26%, signal=67%	
GOBP_RIBOSE_PHOSPHATE_METABOLIC_PROCESS	GOBP_RIBOSE_PHOSPHATE_METABOLIC_PROCESS		443	-0.2920709	-1.6075013	0.0	0.79546154	1.0	4503	tags=31%, list=23%, signal=39%	
GOBP_LATE_ENDOSOME_TO_LYSOSOME_TRANSPORT	GOBP_LATE_ENDOSOME_TO_LYSOSOME_TRANSPORT		19	-0.51822215	-1.6062961	0.02832244	0.77509624	1.0	4195	tags=53%, list=21%, signal=67%	
GOBP_POSITIVE_REGULATION_OF_CHOLESTEROL_METABOLIC_PROCESS	GOBP_POSITIVE_REGULATION_OF_CHOLESTEROL_METABOLIC_PROCESS		20	-0.5049339	-1.6062782	0.02536998	0.7493753	1.0	4218	tags=45%, list=21%, signal=57%	
GOBP_MITOCHONDRIAL_FUSION	GOBP_MITOCHONDRIAL_FUSION		35	-0.43290487	-1.6060927	0.008438818	0.72602236	1.0	1972	tags=26%, list=10%, signal=29%	
GOBP_NUCLEOTIDE_SUGAR_BIOSYNTHETIC_PROCESS	GOBP_NUCLEOTIDE_SUGAR_BIOSYNTHETIC_PROCESS		18	-0.5274074	-1.6057107	0.03125	0.70535874	1.0	2730	tags=22%, list=14%, signal=26%	
GOBP_FOLIC_ACID_CONTAINING_COMPOUND_METABOLIC_PROCESS	GOBP_FOLIC_ACID_CONTAINING_COMPOUND_METABOLIC_PROCESS		25	-0.48300588	-1.6045221	0.02742616	0.68972903	1.0	3038	tags=36%, list=15%, signal=42%	
GOBP_CYTOKINETIC_PROCESS	GOBP_CYTOKINETIC_PROCESS		45	-0.41454166	-1.6014555	0.010940919	0.6857408	1.0	4195	tags=36%, list=21%, signal=45%	
GOBP_TRICARBOXYLIC_ACID_CYCLE	GOBP_TRICARBOXYLIC_ACID_CYCLE		33	-0.45118773	-1.5959196	0.022633744	0.6933586	1.0	5569	tags=45%, list=28%, signal=63%	
GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS	GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS		19	-0.5179345	-1.594001	0.022774328	0.6829117	1.0	2788	tags=32%, list=14%, signal=37%	
GOBP_TERPENOID_BIOSYNTHETIC_PROCESS	GOBP_TERPENOID_BIOSYNTHETIC_PROCESS		19	-0.5020431	-1.5938749	0.03267974	0.66507	1.0	3669	tags=47%, list=19%, signal=58%	
GOBP_NUCLEOSIDE_DIPHOSPHATE_METABOLIC_PROCESS	GOBP_NUCLEOSIDE_DIPHOSPHATE_METABOLIC_PROCESS		131	-0.34173447	-1.5912296	0.0	0.65968	1.0	3344	tags=30%, list=17%, signal=36%	
GOBP_GMP_METABOLIC_PROCESS	GOBP_GMP_METABOLIC_PROCESS		23	-0.48980686	-1.5870773	0.040860213	0.6623113	1.0	4492	tags=52%, list=23%, signal=67%	
GOBP_RIBONUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS	GOBP_RIBONUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS		32	-0.4491234	-1.5840067	0.015021459	0.6597103	1.0	4492	tags=47%, list=23%, signal=61%	
GOBP_MICROVILLUS_ORGANIZATION	GOBP_MICROVILLUS_ORGANIZATION		26	-0.46194226	-1.5728563	0.022916667	0.69856817	1.0	3293	tags=38%, list=17%, signal=46%	
GOBP_ACETYL_COA_METABOLIC_PROCESS	GOBP_ACETYL_COA_METABOLIC_PROCESS		34	-0.435628	-1.5716829	0.02027027	0.688333	1.0	4445	tags=41%, list=22%, signal=53%	
GOBP_REGULATION_OF_CHOLESTEROL_STORAGE	GOBP_REGULATION_OF_CHOLESTEROL_STORAGE		20	-0.49990687	-1.5701723	0.036480688	0.67922556	1.0	3757	tags=35%, list=19%, signal=43%	
GOBP_NUCLEOSIDE_MONOPHOSPHATE_CATABOLIC_PROCESS	GOBP_NUCLEOSIDE_MONOPHOSPHATE_CATABOLIC_PROCESS		25	-0.46055996	-1.5672643	0.026548672	0.677248	1.0	5112	tags=48%, list=26%, signal=65%	
GOBP_NUCLEOTIDE_TRANSMEMBRANE_TRANSPORT	GOBP_NUCLEOTIDE_TRANSMEMBRANE_TRANSPORT		20	-0.4991834	-1.5648031	0.01923077	0.67430776	1.0	5047	tags=40%, list=26%, signal=54%	
GOBP_STEROL_METABOLIC_PROCESS	GOBP_STEROL_METABOLIC_PROCESS		143	-0.32972977	-1.5621372	0.0022222223	0.67317635	1.0	4218	tags=32%, list=21%, signal=41%	
GOBP_IMP_METABOLIC_PROCESS	GOBP_IMP_METABOLIC_PROCESS		23	-0.47534186	-1.562122	0.019396551	0.6590023	1.0	4124	tags=52%, list=21%, signal=66%	
GOBP_MEMBRANE_FISSION	GOBP_MEMBRANE_FISSION		32	-0.44706148	-1.5609796	0.015801355	0.6503866	1.0	5127	tags=53%, list=26%, signal=72%	
GOBP_MACROAUTOPHAGY	GOBP_MACROAUTOPHAGY		293	-0.29475588	-1.5606986	0.0	0.6382097	1.0	3816	tags=28%, list=19%, signal=34%	
GOBP_SKELETAL_MUSCLE_ACETYLCHOLINE_GATED_CHANNEL_CLUSTERING	GOBP_SKELETAL_MUSCLE_ACETYLCHOLINE_GATED_CHANNEL_CLUSTERING		21	-0.4882467	-1.56023	0.026104419	0.627851	1.0	5053	tags=52%, list=26%, signal=70%	
GOBP_NUCLEOSIDE_DIPHOSPHATE_CATABOLIC_PROCESS	GOBP_NUCLEOSIDE_DIPHOSPHATE_CATABOLIC_PROCESS		115	-0.3368378	-1.5582062	0.0043956046	0.6245255	1.0	3344	tags=30%, list=17%, signal=35%	
GOBP_PHOSPHOLIPID_BIOSYNTHETIC_PROCESS	GOBP_PHOSPHOLIPID_BIOSYNTHETIC_PROCESS		217	-0.30824694	-1.5545108	0.004555809	0.6293714	1.0	3897	tags=31%, list=20%, signal=38%	
GOBP_NUCLEOSIDE_BISPHOSPHATE_METABOLIC_PROCESS	GOBP_NUCLEOSIDE_BISPHOSPHATE_METABOLIC_PROCESS		99	-0.3434317	-1.5528927	0.008492569	0.6247495	1.0	5347	tags=36%, list=27%, signal=50%	
GOBP_SULFUR_AMINO_ACID_BIOSYNTHETIC_PROCESS	GOBP_SULFUR_AMINO_ACID_BIOSYNTHETIC_PROCESS		15	-0.5480532	-1.5513451	0.036960986	0.6192467	1.0	2323	tags=33%, list=12%, signal=38%	
GOBP_BILE_ACID_BIOSYNTHETIC_PROCESS	GOBP_BILE_ACID_BIOSYNTHETIC_PROCESS		29	-0.4488309	-1.5508299	0.0385439	0.61035657	1.0	2183	tags=24%, list=11%, signal=27%	
GOBP_POSITIVE_REGULATION_OF_GLYCOGEN_METABOLIC_PROCESS	GOBP_POSITIVE_REGULATION_OF_GLYCOGEN_METABOLIC_PROCESS		19	-0.4974719	-1.5499886	0.034557234	0.60310125	1.0	2504	tags=32%, list=13%, signal=36%	
GOBP_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS_VIA_THE_MULTIVESICULAR_BODY_SORTING_PATHWAY	GOBP_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS_VIA_THE_MULTIVESICULAR_BODY_SORTING_PATHWAY		29	-0.44212145	-1.5497518	0.031914894	0.5936301	1.0	4916	tags=48%, list=25%, signal=64%	
GOBP_VASCULAR_ASSOCIATED_SMOOTH_MUSCLE_CELL_APOPTOTIC_PROCESS	GOBP_VASCULAR_ASSOCIATED_SMOOTH_MUSCLE_CELL_APOPTOTIC_PROCESS		17	-0.51414347	-1.5495839	0.035343036	0.58413607	1.0	1485	tags=29%, list=8%, signal=32%	
GOBP_CELLULAR_RESPONSE_TO_GLUCOSE_STARVATION	GOBP_CELLULAR_RESPONSE_TO_GLUCOSE_STARVATION		43	-0.40881005	-1.5375205	0.022916667	0.62490284	1.0	4668	tags=49%, list=24%, signal=64%	
GOBP_DNA_DUPLEX_UNWINDING	GOBP_DNA_DUPLEX_UNWINDING		44	-0.4016011	-1.5364571	0.01793722	0.61889106	1.0	2977	tags=32%, list=15%, signal=37%	
GOBP_ENDOPLASMIC_RETICULUM_TO_GOLGI_VESICLE_MEDIATED_TRANSPORT	GOBP_ENDOPLASMIC_RETICULUM_TO_GOLGI_VESICLE_MEDIATED_TRANSPORT		121	-0.33608338	-1.5361775	0.0068649887	0.610118	1.0	5251	tags=38%, list=27%, signal=51%	
GOBP_PTERIDINE_CONTAINING_COMPOUND_METABOLIC_PROCESS	GOBP_PTERIDINE_CONTAINING_COMPOUND_METABOLIC_PROCESS		30	-0.44214198	-1.531111	0.03050109	0.6216564	1.0	3038	tags=30%, list=15%, signal=35%	
GOBP_REGULATION_OF_SISTER_CHROMATID_COHESION	GOBP_REGULATION_OF_SISTER_CHROMATID_COHESION		17	-0.4992141	-1.5308032	0.0720339	0.61311716	1.0	3759	tags=41%, list=19%, signal=51%	
GOBP_NUCLEOSIDE_CATABOLIC_PROCESS	GOBP_NUCLEOSIDE_CATABOLIC_PROCESS		23	-0.46257648	-1.530147	0.024640657	0.6063563	1.0	4471	tags=48%, list=23%, signal=62%	
GOBP_INTESTINAL_EPITHELIAL_CELL_DIFFERENTIATION	GOBP_INTESTINAL_EPITHELIAL_CELL_DIFFERENTIATION		26	-0.45476675	-1.529756	0.040860213	0.5984359	1.0	3603	tags=35%, list=18%, signal=42%	
GOBP_REGULATION_OF_TRANSLATION_IN_RESPONSE_TO_STRESS	GOBP_REGULATION_OF_TRANSLATION_IN_RESPONSE_TO_STRESS		25	-0.46056932	-1.5288935	0.0385439	0.59273356	1.0	4206	tags=48%, list=21%, signal=61%	
GOBP_RIBONUCLEOSIDE_CATABOLIC_PROCESS	GOBP_RIBONUCLEOSIDE_CATABOLIC_PROCESS		17	-0.5097931	-1.5278275	0.06092437	0.58825386	1.0	5217	tags=59%, list=26%, signal=80%	
GOBP_NUCLEAR_PORE_ORGANIZATION	GOBP_NUCLEAR_PORE_ORGANIZATION		15	-0.53526163	-1.5256175	0.054945055	0.58871156	1.0	6222	tags=60%, list=31%, signal=87%	
GOBP_POSITIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION	GOBP_POSITIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION		25	-0.45268753	-1.5246137	0.029978586	0.58443546	1.0	3183	tags=40%, list=16%, signal=48%	
GOBP_NUCLEOSIDE_MONOPHOSPHATE_METABOLIC_PROCESS	GOBP_NUCLEOSIDE_MONOPHOSPHATE_METABOLIC_PROCESS		67	-0.3696213	-1.5237237	0.010460251	0.5798268	1.0	5112	tags=42%, list=26%, signal=56%	
GOBP_CARBOHYDRATE_DERIVATIVE_TRANSPORT	GOBP_CARBOHYDRATE_DERIVATIVE_TRANSPORT		73	-0.3550596	-1.5202987	0.014314928	0.585366	1.0	4900	tags=34%, list=25%, signal=45%	
GOBP_PROTEIN_DESTABILIZATION	GOBP_PROTEIN_DESTABILIZATION		56	-0.37523535	-1.5190988	0.009009009	0.5821803	1.0	5350	tags=52%, list=27%, signal=71%	
GOBP_POLARIZED_EPITHELIAL_CELL_DIFFERENTIATION	GOBP_POLARIZED_EPITHELIAL_CELL_DIFFERENTIATION		26	-0.45636898	-1.5160279	0.02232143	0.58620155	1.0	1606	tags=27%, list=8%, signal=29%	
GOBP_VIRION_ASSEMBLY	GOBP_VIRION_ASSEMBLY		26	-0.4545248	-1.5157304	0.041666668	0.5794218	1.0	3327	tags=35%, list=17%, signal=42%	
GOBP_DEOXYRIBONUCLEOTIDE_CATABOLIC_PROCESS	GOBP_DEOXYRIBONUCLEOTIDE_CATABOLIC_PROCESS		27	-0.44080257	-1.5150002	0.05580357	0.57475656	1.0	5112	tags=48%, list=26%, signal=65%	
GOBP_EPITHELIAL_CELL_MATURATION	GOBP_EPITHELIAL_CELL_MATURATION		26	-0.45132253	-1.5121628	0.026748972	0.5784373	1.0	3603	tags=42%, list=18%, signal=52%	
GOBP_CHOLESTEROL_STORAGE	GOBP_CHOLESTEROL_STORAGE		26	-0.444222	-1.510537	0.052863438	0.5774	1.0	6360	tags=54%, list=32%, signal=79%	
GOBP_AMP_BIOSYNTHETIC_PROCESS	GOBP_AMP_BIOSYNTHETIC_PROCESS		15	-0.5112848	-1.5078504	0.050108932	0.58074874	1.0	4124	tags=60%, list=21%, signal=76%	
GOBP_PHOSPHATIDYLINOSITOL_PHOSPHATE_BIOSYNTHETIC_PROCESS	GOBP_PHOSPHATIDYLINOSITOL_PHOSPHATE_BIOSYNTHETIC_PROCESS		53	-0.37396482	-1.5066826	0.020044543	0.5778956	1.0	2845	tags=32%, list=14%, signal=37%	
GOBP_AMP_METABOLIC_PROCESS	GOBP_AMP_METABOLIC_PROCESS		28	-0.44407243	-1.506055	0.052966103	0.5731781	1.0	4124	tags=46%, list=21%, signal=59%	
GOBP_LYSOSOMAL_TRANSPORT	GOBP_LYSOSOMAL_TRANSPORT		127	-0.3185672	-1.5045308	0.0044444446	0.57206374	1.0	4247	tags=34%, list=21%, signal=43%	
GOBP_PERICARDIUM_DEVELOPMENT	GOBP_PERICARDIUM_DEVELOPMENT		26	-0.44175467	-1.5040814	0.019565217	0.5669768	1.0	3074	tags=31%, list=16%, signal=36%	
GOBP_ISOPRENOID_METABOLIC_PROCESS	GOBP_ISOPRENOID_METABOLIC_PROCESS		86	-0.34217948	-1.4975532	0.015730336	0.5847815	1.0	4670	tags=42%, list=24%, signal=55%	
GOBP_POSITIVE_REGULATION_OF_STEROID_BIOSYNTHETIC_PROCESS	GOBP_POSITIVE_REGULATION_OF_STEROID_BIOSYNTHETIC_PROCESS		25	-0.4515718	-1.4959539	0.032822758	0.58423537	1.0	5288	tags=52%, list=27%, signal=71%	
GOBP_NEGATIVE_REGULATION_OF_ORGANELLE_ASSEMBLY	GOBP_NEGATIVE_REGULATION_OF_ORGANELLE_ASSEMBLY		47	-0.38489872	-1.4946194	0.038709678	0.58256495	1.0	4943	tags=40%, list=25%, signal=54%	
GOBP_POSITIVE_REGULATION_OF_TELOMERE_MAINTENANCE_IN_RESPONSE_TO_DNA_DAMAGE	GOBP_POSITIVE_REGULATION_OF_TELOMERE_MAINTENANCE_IN_RESPONSE_TO_DNA_DAMAGE		15	-0.51357317	-1.4943686	0.07755102	0.57684237	1.0	4944	tags=67%, list=25%, signal=89%	
GOBP_LOW_DENSITY_LIPOPROTEIN_PARTICLE_CLEARANCE	GOBP_LOW_DENSITY_LIPOPROTEIN_PARTICLE_CLEARANCE		23	-0.4568682	-1.4932371	0.03797468	0.57487774	1.0	4947	tags=52%, list=25%, signal=70%	
GOBP_INNER_CELL_MASS_CELL_PROLIFERATION	GOBP_INNER_CELL_MASS_CELL_PROLIFERATION		17	-0.48986542	-1.491236	0.04	0.5758176	1.0	3402	tags=41%, list=17%, signal=50%	
GOBP_POSITIVE_REGULATION_OF_AUTOPHAGY_OF_MITOCHONDRION	GOBP_POSITIVE_REGULATION_OF_AUTOPHAGY_OF_MITOCHONDRION		15	-0.509615	-1.4887538	0.06622516	0.5794061	1.0	5507	tags=47%, list=28%, signal=65%	
GOBP_PURINE_CONTAINING_COMPOUND_CATABOLIC_PROCESS	GOBP_PURINE_CONTAINING_COMPOUND_CATABOLIC_PROCESS		160	-0.3054582	-1.4854916	0.002283105	0.58609337	1.0	4670	tags=34%, list=24%, signal=44%	
GOBP_VACUOLAR_TRANSPORT	GOBP_VACUOLAR_TRANSPORT		164	-0.30284742	-1.4849648	0.0044345898	0.58185434	1.0	4247	tags=32%, list=21%, signal=41%	
GOBP_PYRIMIDINE_RIBONUCLEOTIDE_METABOLIC_PROCESS	GOBP_PYRIMIDINE_RIBONUCLEOTIDE_METABOLIC_PROCESS		28	-0.43457556	-1.4829546	0.04338395	0.58331645	1.0	4321	tags=39%, list=22%, signal=50%	
GOBP_PROTEIN_LOCALIZATION_TO_SITE_OF_DOUBLE_STRAND_BREAK	GOBP_PROTEIN_LOCALIZATION_TO_SITE_OF_DOUBLE_STRAND_BREAK		15	-0.5038929	-1.4826871	0.06349207	0.5780871	1.0	922	tags=20%, list=5%, signal=21%	
GOBP_ACYL_COA_METABOLIC_PROCESS	GOBP_ACYL_COA_METABOLIC_PROCESS		79	-0.34701928	-1.4798101	0.010593221	0.5832468	1.0	4445	tags=32%, list=22%, signal=41%	
GOBP_PYROPTOSIS	GOBP_PYROPTOSIS		40	-0.39289486	-1.4755051	0.04694836	0.5936291	1.0	5897	tags=52%, list=30%, signal=75%	
GOBP_CARBOHYDRATE_CATABOLIC_PROCESS	GOBP_CARBOHYDRATE_CATABOLIC_PROCESS		166	-0.30294016	-1.4718744	0.0063157897	0.6014773	1.0	4524	tags=34%, list=23%, signal=43%	
GOBP_MIDBODY_ABSCISSION	GOBP_MIDBODY_ABSCISSION		16	-0.49720877	-1.4714097	0.05907173	0.59719914	1.0	4916	tags=56%, list=25%, signal=75%	
GOBP_CERAMIDE_TRANSPORT	GOBP_CERAMIDE_TRANSPORT		15	-0.5047309	-1.4712033	0.0794702	0.59199387	1.0	6442	tags=73%, list=33%, signal=109%	
GOBP_NUCLEAR_MEMBRANE_ORGANIZATION	GOBP_NUCLEAR_MEMBRANE_ORGANIZATION		35	-0.40086922	-1.4702606	0.045652173	0.5895303	1.0	4916	tags=43%, list=25%, signal=57%	
GOBP_ONE_CARBON_COMPOUND_TRANSPORT	GOBP_ONE_CARBON_COMPOUND_TRANSPORT		15	-0.51696104	-1.4691752	0.08126411	0.587683	1.0	2331	tags=27%, list=12%, signal=30%	
GOBP_MITOTIC_CYTOKINETIC_PROCESS	GOBP_MITOTIC_CYTOKINETIC_PROCESS		30	-0.4249401	-1.4683797	0.05668934	0.5850834	1.0	4916	tags=43%, list=25%, signal=58%	
GOBP_POSITIVE_REGULATION_OF_MYOBLAST_PROLIFERATION	GOBP_POSITIVE_REGULATION_OF_MYOBLAST_PROLIFERATION		15	-0.51490533	-1.4677594	0.07724426	0.58165956	1.0	2586	tags=40%, list=13%, signal=46%	
GOBP_GMP_BIOSYNTHETIC_PROCESS	GOBP_GMP_BIOSYNTHETIC_PROCESS		15	-0.51246446	-1.4579052	0.08108108	0.6148666	1.0	4492	tags=60%, list=23%, signal=78%	
GOBP_REGULATION_OF_CHOLESTEROL_METABOLIC_PROCESS	GOBP_REGULATION_OF_CHOLESTEROL_METABOLIC_PROCESS		41	-0.38552514	-1.4555	0.036437247	0.6182013	1.0	4218	tags=34%, list=21%, signal=43%	
GOBP_CELL_MIGRATION_INVOLVED_IN_HEART_DEVELOPMENT	GOBP_CELL_MIGRATION_INVOLVED_IN_HEART_DEVELOPMENT		19	-0.46690527	-1.4554734	0.062893085	0.6124478	1.0	3398	tags=21%, list=17%, signal=25%	
GOBP_ORGANOPHOSPHATE_CATABOLIC_PROCESS	GOBP_ORGANOPHOSPHATE_CATABOLIC_PROCESS		239	-0.28098774	-1.4531771	0.0021929825	0.6157581	1.0	4670	tags=32%, list=24%, signal=41%	
GOBP_MESENCHYMAL_TO_EPITHELIAL_TRANSITION	GOBP_MESENCHYMAL_TO_EPITHELIAL_TRANSITION		16	-0.49133623	-1.4516851	0.083516486	0.6159548	1.0	4442	tags=50%, list=22%, signal=64%	
GOBP_ENDOSOME_TO_LYSOSOME_TRANSPORT_VIA_MULTIVESICULAR_BODY_SORTING_PATHWAY	GOBP_ENDOSOME_TO_LYSOSOME_TRANSPORT_VIA_MULTIVESICULAR_BODY_SORTING_PATHWAY		17	-0.48247063	-1.4489986	0.08240534	0.62106776	1.0	4916	tags=47%, list=25%, signal=63%	
GOBP_CELL_MIGRATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS	GOBP_CELL_MIGRATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS		55	-0.35826445	-1.4483874	0.022988506	0.61771315	1.0	2466	tags=25%, list=12%, signal=29%	
GOBP_FEMALE_GENITALIA_DEVELOPMENT	GOBP_FEMALE_GENITALIA_DEVELOPMENT		16	-0.48778284	-1.4473393	0.081018515	0.6158723	1.0	1969	tags=31%, list=10%, signal=35%	
GOBP_ALCOHOL_BIOSYNTHETIC_PROCESS	GOBP_ALCOHOL_BIOSYNTHETIC_PROCESS		131	-0.30444065	-1.4465657	0.011013215	0.6135605	1.0	4211	tags=31%, list=21%, signal=40%	
GOBP_ENDOSOME_ORGANIZATION	GOBP_ENDOSOME_ORGANIZATION		70	-0.3334756	-1.4450407	0.032119915	0.61389726	1.0	5151	tags=40%, list=26%, signal=54%	
GOBP_NUCLEOTIDE_TRANSPORT	GOBP_NUCLEOTIDE_TRANSPORT		35	-0.39359948	-1.4449501	0.056399133	0.6087835	1.0	5257	tags=34%, list=27%, signal=47%	
GOBP_CELLULAR_METABOLIC_COMPOUND_SALVAGE	GOBP_CELLULAR_METABOLIC_COMPOUND_SALVAGE		36	-0.399221	-1.4442886	0.04338843	0.60591704	1.0	5286	tags=44%, list=27%, signal=61%	
GOBP_RIG_I_SIGNALING_PATHWAY	GOBP_RIG_I_SIGNALING_PATHWAY		26	-0.43247733	-1.437509	0.060796645	0.6278574	1.0	4680	tags=46%, list=24%, signal=60%	
GOBP_BLASTODERM_SEGMENTATION	GOBP_BLASTODERM_SEGMENTATION		28	-0.41911563	-1.4365389	0.06818182	0.6263526	1.0	5351	tags=50%, list=27%, signal=68%	
GOBP_ALCOHOL_METABOLIC_PROCESS	GOBP_ALCOHOL_METABOLIC_PROCESS		314	-0.27305868	-1.4362508	0.0023809525	0.62202084	1.0	4254	tags=29%, list=22%, signal=37%	
